name H eH J eJ K eK V eV I P LogP V-i
HV5541 14.668 0.035 14.945 0.050 14.607 0.061 15.970 0.070 15.350 2.68225 0.428499253963 0.62
HV5655 12.553 0.022 12.971 0.023 12.443 0.024 14.520 0.030 13.570 14.21136 1.15263564107 0.95
HV6065 13.496 0.010 13.843 0.013 13.411 0.010 15.200 0.070 14.400 6.83803 0.834931001814 0.8
HV6093 13.830 0.016 14.138 0.021 13.758 0.016 15.330 0.090 14.650 4.78477 0.679861066432 0.68
HV6098 11.405 0.016 11.733 0.017 11.317 0.014 12.950 0.070 12.270 24.23750 1.38448782209 0.68
HV12225 14.639 0.016 14.966 0.016 14.551 0.027 16.16 0.000 15.42 3.00736 0.478185419007 0.74
HV12452 13.025 0.015 13.365 0.018 12.939 0.014 14.755 0.000 13.941 8.73611 0.941318093778 0.814
HV12471 12.453 0.020 12.903 0.021 12.308 0.019 14.730 0.070 13.660 15.85133 1.2000657074 1.07
#HV12505 12.600 0.022 13.047 0.025 12.466 0.022 14.550 0.170 14.000 14.38512 1.15791348911 0.55
HV12656 12.453 0.010 12.809 0.014 12.373 0.009 14.150 0.110 13.370 13.39984 1.12709961273 0.78
HV12700 13.151 0.009 13.496 0.010 13.061 0.010 14.860 0.070 14.110 8.15255 0.911293471036 0.75
HV12717 13.051 0.017 13.384 0.023 12.958 0.017 14.690 0.070 13.910 8.84285 0.946592258202 0.78
HV12724 12.655 0.020 13.082 0.019 12.547 0.022 14.770 0.070 13.740 13.74365 1.13810208675 1.03
HV12747 14.357 0.018 14.658 0.022 14.293 0.016 15.770 0.060 15.130 3.59917 0.556202360217 0.64
HV12765 13.914 0.012 14.191 0.014 13.854 0.012 15.290 0.060 14.670 3.42924 0.535197880865 0.62
HV12815 11.424 0.043 11.849 0.048 11.311 0.035 13.480 0.020 12.540 26.06280 1.41602107136 0.94
HV12816 13.059 0.010 13.352 0.015 12.983 0.009 14.490 0.010 13.850 9.10768 0.959407763195 0.64
U1 11.916 0.030 12.350 0.033 11.790 0.030 14.09 0.000 13.09 22.55830 1.35330636799 1.0
U11 11.972 0.032 12.383 0.035 11.860 0.029 13.66 0.000 12.85 20.07270 1.30260579382 0.81
