#     name      zhel      zcmb f    st   +/-   Mmax   +/-    t0  EBVmw eEBVmw  covMs       Anon   Source
SN2004gu   0.0458267 0.0468967 J 1.248 0.011 17.870 0.192  18.4 0.0223 0.0022 -1.854e-05   Anon   CSP
SN2004gu   0.0458267 0.0468967 r 1.248 0.011 17.408 0.008  -7.4 0.0223 0.0022  3.460e-05   Anon   CSP
SN2004gu   0.0458267 0.0468967 u 1.248 0.011 17.858 0.030   1.2 0.0223 0.0022 -3.681e-05   Anon   CSP
SN2004gu   0.0458267 0.0468967 V 1.248 0.011 17.279 0.009  -5.5 0.0223 0.0022  1.077e-05   Anon   CSP
SN2005A    0.0191267 0.0183400 B 0.964 0.012 18.200 0.020  -3.4 0.0259 0.0026  3.433e-05   Anon   CSP
SN2005A    0.0191267 0.0183400 g 0.964 0.012 17.688 0.015  -3.5 0.0259 0.0026  3.189e-05   Anon   CSP
SN2005A    0.0191267 0.0183400 i 0.964 0.012 16.969 0.018  -0.2 0.0259 0.0026  3.839e-05   Anon   CSP
SN2005A    0.0191267 0.0183400 H 0.964 0.012 16.333 0.091   9.8 0.0259 0.0026  1.386e-04   Anon   CSP
SN2005A    0.0191267 0.0183400 J 0.964 0.012 16.282 0.124   9.5 0.0259 0.0026 -6.470e-06   Anon   CSP
SN2005A    0.0191267 0.0183400 r 0.964 0.012 16.739 0.013  -4.9 0.0259 0.0026  5.391e-05   Anon   CSP
SN2005A    0.0191267 0.0183400 V 0.964 0.012 17.102 0.015  -4.6 0.0259 0.0026  5.477e-05   Anon   CSP
SN2005M    0.0219967 0.0255800 B 1.210 0.003 15.941 0.002  -8.4 0.0273 0.0027  2.125e-06   Anon   CSP
SN2005M    0.0219967 0.0255800 g 1.210 0.003 15.861 0.002  -9.3 0.0273 0.0027  2.281e-06   Anon   CSP
SN2005M    0.0219967 0.0255800 i 1.210 0.003 16.528 0.004  -5.5 0.0273 0.0027  1.480e-06   Anon   CSP
SN2005M    0.0219967 0.0255800 H 1.210 0.003 16.706 0.017  -3.2 0.0273 0.0027 -4.832e-07   Anon   CSP
SN2005M    0.0219967 0.0255800 J 1.210 0.003 16.618 0.019  -2.8 0.0273 0.0027 -3.213e-08   Anon   CSP
SN2005M    0.0219967 0.0255800 r 1.210 0.003 16.004 0.003 -11.1 0.0273 0.0027  2.486e-06   Anon   CSP
SN2005M    0.0219967 0.0255800 u 1.210 0.003 16.222 0.004  -7.8 0.0273 0.0027  2.961e-06   Anon   CSP
SN2005M    0.0219967 0.0255800 V 1.210 0.003 15.907 0.002 -10.6 0.0273 0.0027  2.045e-06   Anon   CSP
SN2005W    0.0088833 0.0079500 B 0.923 0.008 14.198 0.006  -7.9 0.0615 0.0062  1.979e-05   Anon   CSP
SN2005W    0.0088833 0.0079500 g 0.923 0.008 14.103 0.006  -8.1 0.0615 0.0062  1.617e-05   Anon   CSP
SN2005W    0.0088833 0.0079500 i 0.923 0.008 14.536 0.009  -4.8 0.0615 0.0062  1.734e-05   Anon   CSP
SN2005W    0.0088833 0.0079500 r 0.923 0.008 14.028 0.005  -9.3 0.0615 0.0062  1.179e-05   Anon   CSP
SN2005W    0.0088833 0.0079500 u 0.923 0.008 14.762 0.014  -6.5 0.0615 0.0062  7.196e-06   Anon   CSP
SN2005W    0.0088833 0.0079500 V 0.923 0.008 14.034 0.006  -9.2 0.0615 0.0062  1.624e-05   Anon   CSP
SN2005ag   0.0793700 0.0800800 B 1.184 0.007 18.457 0.005  -1.0 0.0331 0.0033 -8.857e-06   Anon   CSP
SN2005ag   0.0793700 0.0800800 g 1.184 0.007 18.399 0.005  -0.9 0.0331 0.0033 -1.012e-05   Anon   CSP
SN2005ag   0.0793700 0.0800800 i 1.184 0.007 19.187 0.009   1.9 0.0331 0.0033  2.357e-05   Anon   CSP
SN2005ag   0.0793700 0.0800800 J 1.184 0.007 19.186 0.106  10.6 0.0331 0.0033  2.577e-05   Anon   CSP
SN2005ag   0.0793700 0.0800800 r 1.184 0.007 18.570 0.004  -3.5 0.0331 0.0033  8.967e-06   Anon   CSP
SN2005ag   0.0793700 0.0800800 V 1.184 0.007 18.432 0.005  -2.2 0.0331 0.0033 -2.328e-06   Anon   CSP
SN2005al   0.0123933 0.0132867 B 0.860 0.004 14.881 0.005  -1.0 0.0483 0.0048 -4.374e-07   Anon   CSP
SN2005al   0.0123933 0.0132867 g 0.860 0.004 14.864 0.005  -1.2 0.0483 0.0048  1.685e-07   Anon   CSP
SN2005al   0.0123933 0.0132867 i 0.860 0.004 15.645 0.007   1.9 0.0483 0.0048 -4.388e-07   Anon   CSP
SN2005al   0.0123933 0.0132867 H 0.860 0.004 15.621 0.044   7.2 0.0483 0.0048  1.878e-05   Anon   CSP
SN2005al   0.0123933 0.0132867 J 0.860 0.004 15.423 0.077   6.9 0.0483 0.0048 -2.493e-06   Anon   CSP
SN2005al   0.0123933 0.0132867 r 0.860 0.004 15.028 0.005  -2.2 0.0483 0.0048 -1.030e-08   Anon   CSP
SN2005al   0.0123933 0.0132867 u 0.860 0.004 15.357 0.009   0.6 0.0483 0.0048 -9.716e-06   Anon   CSP
SN2005al   0.0123933 0.0132867 V 0.860 0.004 14.936 0.005  -2.3 0.0483 0.0048  1.164e-06   Anon   CSP
SN2005am   0.0078933 0.0089667 B 0.730 0.003 13.685 0.004  -0.8 0.0433 0.0043  6.968e-07   Anon   CSP
SN2005am   0.0078933 0.0089667 g 0.730 0.003 13.612 0.004  -1.1 0.0433 0.0043  2.701e-06   Anon   CSP
SN2005am   0.0078933 0.0089667 i 0.730 0.003 14.158 0.006   1.5 0.0433 0.0043 -3.309e-06   Anon   CSP
SN2005am   0.0078933 0.0089667 H 0.730 0.003 14.141 0.022  -0.6 0.0433 0.0043  1.534e-06   Anon   CSP
SN2005am   0.0078933 0.0089667 J 0.730 0.003 13.835 0.072  27.2 0.0433 0.0043  1.205e-05   Anon   CSP
SN2005am   0.0078933 0.0089667 r 0.730 0.003 13.640 0.004  -2.2 0.0433 0.0043  7.583e-07   Anon   CSP
