#     name      zhel      zcmb f    st   +/-   Mmax   +/-    t0  EBVmw eEBVmw  covMs       Anon   Source
SN2005lu   0.0319867 0.0312933 i 1.130 0.034 17.575 0.066  11.8 0.0218 0.0022  1.468e-04   Anon   CSP
SN2005lu   0.0319867 0.0312933 r 1.130 0.034 17.049 0.038   6.5 0.0218 0.0022  2.509e-04   Anon   CSP
SN2005lu   0.0319867 0.0312933 u 1.130 0.034 17.796 0.097  10.2 0.0218 0.0022 -1.995e-04   Anon   CSP
SN2005lu   0.0319867 0.0312933 V 1.130 0.034 17.054 0.043   7.7 0.0218 0.0022  9.542e-05   Anon   CSP
SN2005lu   0.0319867 0.0312933 Y 1.130 0.034 17.535 0.101  12.3 0.0218 0.0022  2.493e-04   Anon   CSP
SN2005mc   0.0252033 0.0260067 B 0.640 0.025 17.223 0.056   2.1 0.0379 0.0038 -6.733e-05   Anon   CSP
SN2005mc   0.0252033 0.0260067 g 0.640 0.025 17.049 0.033   1.8 0.0379 0.0038 -3.876e-05   Anon   CSP
SN2005mc   0.0252033 0.0260067 i 0.640 0.025 17.214 0.068   3.7 0.0379 0.0038 -1.031e-04   Anon   CSP
SN2005mc   0.0252033 0.0260067 r 0.640 0.025 16.849 0.031   0.4 0.0379 0.0038 -5.405e-05   Anon   CSP
SN2005mc   0.0252033 0.0260067 u 0.640 0.025 18.058 0.096   3.7 0.0379 0.0038 -9.711e-05   Anon   CSP
SN2005mc   0.0252033 0.0260067 V 0.640 0.025 16.920 0.040   0.6 0.0379 0.0038 -2.923e-05   Anon   CSP
SN2005na   0.0263033 0.0268133 B 0.957 0.006 16.005 0.007  -1.9 0.0681 0.0068  7.515e-06   Anon   CSP
SN2005na   0.0263033 0.0268133 g 0.957 0.006 15.963 0.006  -2.1 0.0681 0.0068  5.165e-06   Anon   CSP
SN2005na   0.0263033 0.0268133 i 0.957 0.006 16.654 0.010   1.2 0.0681 0.0068  2.927e-06   Anon   CSP
SN2005na   0.0263033 0.0268133 H 0.957 0.006 16.707 0.053  20.4 0.0681 0.0068  7.498e-05   Anon   CSP
SN2005na   0.0263033 0.0268133 J 0.957 0.006 16.475 0.108  20.0 0.0681 0.0068  7.986e-05   Anon   CSP
SN2005na   0.0263033 0.0268133 r 0.957 0.006 16.083 0.007  -3.4 0.0681 0.0068  9.043e-06   Anon   CSP
SN2005na   0.0263033 0.0268133 u 0.957 0.006 16.099 0.014  -0.6 0.0681 0.0068 -4.101e-06   Anon   CSP
SN2005na   0.0263033 0.0268133 V 0.957 0.006 16.004 0.006  -3.2 0.0681 0.0068  6.824e-06   Anon   CSP
SN2005na   0.0263033 0.0268133 Y 0.957 0.006 16.630 0.078  46.7 0.0681 0.0068  1.175e-04   Anon   CSP
SN2006D    0.0085200 0.0096400 B 0.815 0.003 14.184 0.005  -6.0 0.0394 0.0039  4.812e-06   Anon   CSP
SN2006D    0.0085200 0.0096400 g 0.815 0.003 14.084 0.006  -5.2 0.0394 0.0039  5.836e-06   Anon   CSP
SN2006D    0.0085200 0.0096400 i 0.815 0.003 14.623 0.006  -2.2 0.0394 0.0039  2.616e-07   Anon   CSP
SN2006D    0.0085200 0.0096400 H 0.815 0.003 14.505 0.037  19.9 0.0394 0.0039  1.013e-05   Anon   CSP
SN2006D    0.0085200 0.0096400 J 0.815 0.003 14.472 0.064  19.6 0.0394 0.0039  1.701e-06   Anon   CSP
SN2006D    0.0085200 0.0096400 r 0.815 0.003 14.122 0.005  -6.2 0.0394 0.0039  9.023e-07   Anon   CSP
SN2006D    0.0085200 0.0096400 u 0.815 0.003 14.798 0.011  -4.4 0.0394 0.0039  1.818e-06   Anon   CSP
SN2006D    0.0085200 0.0096400 V 0.815 0.003 14.084 0.004  -7.3 0.0394 0.0039  2.063e-06   Anon   CSP
SN2006D    0.0085200 0.0096400 Y 0.815 0.003 14.612 0.027  22.9 0.0394 0.0039 -5.654e-07   Anon   CSP
SN2006X    0.0052367 0.0063200 B 0.968 0.006 15.261 0.010 -11.0 0.0228 0.0023  2.411e-05   Anon   CSP
SN2006X    0.0052367 0.0063200 g 0.968 0.006 14.683 0.008 -11.2 0.0228 0.0023  1.572e-05   Anon   CSP
SN2006X    0.0052367 0.0063200 i 0.968 0.006 13.732 0.013  -7.9 0.0228 0.0023  1.256e-05   Anon   CSP
SN2006X    0.0052367 0.0063200 H 0.968 0.006 12.981 0.021  -5.6 0.0228 0.0023  2.377e-05   Anon   CSP
SN2006X    0.0052367 0.0063200 J 0.968 0.006 12.843 0.024  -5.9 0.0228 0.0023  1.847e-05   Anon   CSP
SN2006X    0.0052367 0.0063200 r 0.968 0.006 13.549 0.010 -12.6 0.0228 0.0023  1.619e-05   Anon   CSP
SN2006X    0.0052367 0.0063200 u 0.968 0.006 17.249 0.023  -9.8 0.0228 0.0023  1.840e-05   Anon   CSP
SN2006X    0.0052367 0.0063200 V 0.968 0.006 14.016 0.008 -12.3 0.0228 0.0023  2.058e-05   Anon   CSP
SN2006X    0.0052367 0.0063200 Y 0.968 0.006 13.036 0.027  -5.2 0.0228 0.0023  3.608e-05   Anon   CSP
SN2006ax   0.0167267 0.0179567 B 0.987 0.004 15.026 0.005 -11.8 0.0410 0.0041  9.277e-06   Anon   CSP
SN2006ax   0.0167267 0.0179567 g 0.987 0.004 15.001 0.005 -12.0 0.0410 0.0041  8.076e-06   Anon   CSP
SN2006ax   0.0167267 0.0179567 i 0.987 0.004 15.776 0.007  -8.6 0.0410 0.0041  7.331e-06   Anon   CSP
SN2006ax   0.0167267 0.0179567 H 0.987 0.004 15.998 0.012  -5.4 0.0410 0.0041  7.418e-06   Anon   CSP
SN2006ax   0.0167267 0.0179567 J 0.987 0.004 15.690 0.009  -5.7 0.0410 0.0041  5.301e-06   Anon   CSP
SN2006ax   0.0167267 0.0179567 r 0.987 0.004 15.185 0.005 -13.5 0.0410 0.0041  8.229e-06   Anon   CSP
SN2006ax   0.0167267 0.0179567 u 0.987 0.004 15.361 0.009 -10.5 0.0410 0.0041  9.709e-06   Anon   CSP
SN2006ax   0.0167267 0.0179567 V 0.987 0.004 15.078 0.004 -13.0 0.0410 0.0041  7.396e-06   Anon   CSP
SN2006ax   0.0167267 0.0179567 Y 0.987 0.004 15.836 0.010  -5.0 0.0410 0.0041  1.034e-05   Anon   CSP
SN2006bd   0.0257067 0.0267967 B 0.376 0.013 18.835 0.044  -1.3 0.0231 0.0023  7.660e-05   Anon   CSP
SN2006bd   0.0257067 0.0267967 g 0.376 0.013 18.434 0.031  -1.5 0.0231 0.0023  9.234e-05   Anon   CSP
SN2006bd   0.0257067 0.0267967 i 0.376 0.013 18.024 0.031  -3.2 0.0231 0.0023  4.963e-05   Anon   CSP
SN2006bd   0.0257067 0.0267967 H 0.376 0.013 17.825 0.117   7.2 0.0231 0.0023  2.265e-04   Anon   CSP
SN2006bd   0.0257067 0.0267967 J 0.376 0.013 17.566 0.070  -3.3 0.0231 0.0023 -2.693e-04   Anon   CSP
SN2006bd   0.0257067 0.0267967 r 0.376 0.013 17.905 0.022  -5.1 0.0231 0.0023  6.486e-05   Anon   CSP
SN2006bd   0.0257067 0.0267967 V 0.376 0.013 18.030 0.025  -2.5 0.0231 0.0023  8.083e-05   Anon   CSP
SN2006bd   0.0257067 0.0267967 Y 0.376 0.013 17.639 0.062  -5.6 0.0231 0.0023 -9.571e-07   Anon   CSP
SN2006bh   0.0108400 0.0104933 B 0.802 0.003 14.358 0.003  -4.9 0.0228 0.0023  3.326e-06   Anon   CSP
SN2006bh   0.0108400 0.0104933 g 0.802 0.003 14.309 0.004  -5.1 0.0228 0.0023  3.404e-06   Anon   CSP
SN2006bh   0.0108400 0.0104933 i 0.802 0.003 14.974 0.005  -2.2 0.0228 0.0023 -6.182e-07   Anon   CSP
SN2006bh   0.0108400 0.0104933 H 0.802 0.003 14.951 0.015  -0.1 0.0228 0.0023  3.378e-06   Anon   CSP
SN2006bh   0.0108400 0.0104933 J 0.802 0.003 14.807 0.016  -0.3 0.0228 0.0023  2.680e-07   Anon   CSP
SN2006bh   0.0108400 0.0104933 r 0.802 0.003 14.426 0.004  -6.1 0.0228 0.0023  1.108e-06   Anon   CSP
SN2006bh   0.0108400 0.0104933 u 0.802 0.003 14.736 0.006  -2.3 0.0228 0.0023  7.786e-07   Anon   CSP
SN2006bh   0.0108400 0.0104933 V 0.802 0.003 14.372 0.003  -6.1 0.0228 0.0023  1.652e-06   Anon   CSP
SN2006bh   0.0108400 0.0104933 Y 0.802 0.003 14.883 0.011  -0.1 0.0228 0.0023 -3.878e-06   Anon   CSP
SN2006br   0.0245733 0.0255233 B 0.909 0.029 18.947 0.075   7.8 0.0197 0.0020  5.531e-05   Anon   CSP
SN2006br   0.0245733 0.0255233 g 0.909 0.029 18.460 0.030  10.5 0.0197 0.0020  7.458e-05   Anon   CSP
SN2006br   0.0245733 0.0255233 i 0.909 0.029 17.857 0.069  10.8 0.0197 0.0020 -7.619e-05   Anon   CSP
SN2006br   0.0245733 0.0255233 H 0.909 0.029 17.086 0.127   9.0 0.0197 0.0020  3.590e-04   Anon   CSP
SN2006br   0.0245733 0.0255233 J 0.909 0.029 16.876 0.116   8.6 0.0197 0.0020 -5.599e-05   Anon   CSP
SN2006br   0.0245733 0.0255233 r 0.909 0.029 17.697 0.037   6.4 0.0197 0.0020 -4.436e-05   Anon   CSP
SN2006br   0.0245733 0.0255233 V 0.909 0.029 18.009 0.052   6.4 0.0197 0.0020 -3.823e-05   Anon   CSP
SN2006br   0.0245733 0.0255233 Y 0.909 0.029 17.217 0.093  13.3 0.0197 0.0020  3.117e-04   Anon   CSP
SN2006ef   0.0178700 0.0170267 B 0.837 0.020 15.396 0.070  10.4 0.0201 0.0020 -1.393e-05   Anon   CSP
SN2006ef   0.0178700 0.0170267 g 0.837 0.020 15.363 0.044  10.1 0.0201 0.0020 -9.600e-06   Anon   CSP
SN2006ef   0.0178700 0.0170267 i 0.837 0.020 16.097 0.067  13.2 0.0201 0.0020  5.560e-07   Anon   CSP
SN2006ef   0.0178700 0.0170267 r 0.837 0.020 15.512 0.037   9.1 0.0201 0.0020 -2.663e-05   Anon   CSP
SN2006ef   0.0178700 0.0170267 u 0.837 0.020 15.815 0.109  12.0 0.0201 0.0020 -5.580e-05   Anon   CSP
SN2006ef   0.0178700 0.0170267 V 0.837 0.020 15.414 0.048   9.1 0.0201 0.0020 -1.685e-05   Anon   CSP
SN2006ej   0.0204367 0.0193367 B 0.829 0.018 15.725 0.053   5.5 0.0296 0.0030 -1.623e-05   Anon   CSP
SN2006ej   0.0204367 0.0193367 g 0.829 0.018 15.678 0.029   3.2 0.0296 0.0030 -1.171e-05   Anon   CSP
SN2006ej   0.0204367 0.0193367 i 0.829 0.018 16.358 0.063  13.2 0.0296 0.0030  4.447e-06   Anon   CSP
SN2006ej   0.0204367 0.0193367 H 0.829 0.018 16.311 0.067   8.4 0.0296 0.0030  9.963e-06   Anon   CSP
SN2006ej   0.0204367 0.0193367 J 0.829 0.018 15.985 0.079   8.1 0.0296 0.0030 -1.893e-05   Anon   CSP
SN2006ej   0.0204367 0.0193367 r 0.829 0.018 15.764 0.033   9.1 0.0296 0.0030 -1.542e-05   Anon   CSP
SN2006ej   0.0204367 0.0193367 u 0.829 0.018 16.177 0.080   5.1 0.0296 0.0030 -3.303e-05   Anon   CSP
SN2006ej   0.0204367 0.0193367 V 0.829 0.018 15.697 0.038   2.2 0.0296 0.0030 -7.627e-06   Anon   CSP
SN2006ej   0.0204367 0.0193367 Y 0.829 0.018 16.138 0.030  27.4 0.0296 0.0030 -8.433e-06   Anon   CSP
SN2006eq   0.0494667 0.0483667 B 0.621 0.025 18.534 0.065   2.1 0.0416 0.0042 -6.061e-05   Anon   CSP
SN2006eq   0.0494667 0.0483667 g 0.621 0.025 18.367 0.038   1.9 0.0416 0.0042 -2.403e-05   Anon   CSP
SN2006eq   0.0494667 0.0483667 i 0.621 0.025 18.623 0.070   3.5 0.0416 0.0042 -8.034e-05   Anon   CSP
SN2006eq   0.0494667 0.0483667 H 0.621 0.025 18.023 0.174   2.9 0.0416 0.0042 -2.422e-05   Anon   CSP
SN2006eq   0.0494667 0.0483667 J 0.621 0.025 18.295 0.108   3.3 0.0416 0.0042 -2.622e-04   Anon   CSP
SN2006eq   0.0494667 0.0483667 r 0.621 0.025 18.249 0.033   0.4 0.0416 0.0042 -5.366e-05   Anon   CSP
SN2006eq   0.0494667 0.0483667 u 0.621 0.025 19.463 0.203   3.8 0.0416 0.0042 -1.153e-04   Anon   CSP
SN2006eq   0.0494667 0.0483667 V 0.621 0.025 18.260 0.046   0.6 0.0416 0.0042 -1.363e-05   Anon   CSP
SN2006eq   0.0494667 0.0483667 Y 0.621 0.025 18.466 0.067   2.8 0.0416 0.0042 -1.389e-04   Anon   CSP
SN2006et   0.0221567 0.0216467 B 1.093 0.008 15.980 0.005  -7.5 0.0165 0.0017  1.334e-05   Anon   CSP
SN2006et   0.0221567 0.0216467 g 1.093 0.008 15.878 0.006 -10.6 0.0165 0.0017  7.966e-06   Anon   CSP
SN2006et   0.0221567 0.0216467 i 1.093 0.008 16.328 0.010  -4.3 0.0165 0.0017  9.630e-06   Anon   CSP
SN2006et   0.0221567 0.0216467 H 1.093 0.008 16.423 0.020  -7.3 0.0165 0.0017  2.395e-06   Anon   CSP
SN2006et   0.0221567 0.0216467 J 1.093 0.008 16.184 0.017  -7.2 0.0165 0.0017  1.059e-05   Anon   CSP
SN2006et   0.0221567 0.0216467 r 1.093 0.008 15.825 0.006 -12.6 0.0165 0.0017  2.194e-05   Anon   CSP
SN2006et   0.0221567 0.0216467 u 1.093 0.008 16.544 0.015  -6.1 0.0165 0.0017  6.330e-06   Anon   CSP
SN2006et   0.0221567 0.0216467 V 1.093 0.008 15.819 0.006  -8.4 0.0165 0.0017  1.792e-05   Anon   CSP
SN2006et   0.0221567 0.0216467 Y 1.093 0.008 16.309 0.015  -6.9 0.0165 0.0017  1.095e-05   Anon   CSP
SN2006ev   0.0287133 0.0276000 B 0.845 0.019 17.128 0.053   4.6 0.0759 0.0076 -1.554e-05   Anon   CSP
SN2006ev   0.0287133 0.0276000 g 0.845 0.019 17.008 0.031   4.3 0.0759 0.0076 -1.143e-05   Anon   CSP
SN2006ev   0.0287133 0.0276000 i 0.845 0.019 17.425 0.061   7.5 0.0759 0.0076 -1.159e-05   Anon   CSP
SN2006ev   0.0287133 0.0276000 H 0.845 0.019 17.120 0.051   7.7 0.0759 0.0076  3.751e-05   Anon   CSP
SN2006ev   0.0287133 0.0276000 J 0.845 0.019 17.062 0.081   7.3 0.0759 0.0076 -1.609e-05   Anon   CSP
SN2006ev   0.0287133 0.0276000 r 0.845 0.019 16.936 0.029   3.4 0.0759 0.0076 -1.921e-05   Anon   CSP
SN2006ev   0.0287133 0.0276000 V 0.845 0.019 16.917 0.039   3.3 0.0759 0.0076 -1.263e-05   Anon   CSP
SN2006ev   0.0287133 0.0276000 Y 0.845 0.019 17.119 0.059   7.7 0.0759 0.0076 -9.344e-06   Anon   CSP
SN2006fw   0.0829433 0.0819867 B 0.888 0.049 19.065 0.048  -2.1 0.0280 0.0028  5.232e-04   Anon   CSP
SN2006fw   0.0829433 0.0819867 g 0.888 0.049 18.853 0.061  -2.4 0.0280 0.0028  9.489e-04   Anon   CSP
SN2006fw   0.0829433 0.0819867 i 0.888 0.049 19.176 0.075   0.8 0.0280 0.0028 -1.938e-04   Anon   CSP
SN2006fw   0.0829433 0.0819867 r 0.888 0.049 18.765 0.041  -3.5 0.0280 0.0028  2.071e-04   Anon   CSP
SN2006fw   0.0829433 0.0819867 u 0.888 0.049 19.543 0.154  -0.7 0.0280 0.0028 -2.713e-04   Anon   CSP
SN2006fw   0.0829433 0.0819867 V 0.888 0.049 18.982 0.055  -3.5 0.0280 0.0028  4.432e-04   Anon   CSP
SN2006gj   0.0283333 0.0269667 B 0.656 0.007 17.647 0.009  -1.9 0.0705 0.0070  7.312e-06   Anon   CSP
SN2006gj   0.0283333 0.0269667 g 0.656 0.007 17.482 0.007  -2.2 0.0705 0.0070  1.006e-05   Anon   CSP
SN2006gj   0.0283333 0.0269667 i 0.656 0.007 17.561 0.013  -0.2 0.0705 0.0070 -1.850e-05   Anon   CSP
SN2006gj   0.0283333 0.0269667 H 0.656 0.007 17.336 0.081   4.4 0.0705 0.0070 -6.993e-05   Anon   CSP
SN2006gj   0.0283333 0.0269667 J 0.656 0.007 17.071 0.094   4.7 0.0705 0.0070 -5.599e-05   Anon   CSP
SN2006gj   0.0283333 0.0269667 r 0.656 0.007 17.265 0.007  -3.5 0.0705 0.0070  9.201e-08   Anon   CSP
SN2006gj   0.0283333 0.0269667 u 0.656 0.007 18.361 0.021  -0.3 0.0705 0.0070  1.127e-05   Anon   CSP
SN2006gj   0.0283333 0.0269667 V 0.656 0.007 17.364 0.008  -3.3 0.0705 0.0070  8.593e-06   Anon   CSP
SN2006gj   0.0283333 0.0269667 Y 0.656 0.007 17.270 0.061   4.2 0.0705 0.0070 -4.107e-05   Anon   CSP
SN2006gt   0.0447400 0.0436433 B 0.562 0.011 18.212 0.012  -2.3 0.0323 0.0032  1.350e-05   Anon   CSP
SN2006gt   0.0447400 0.0436433 g 0.562 0.011 18.044 0.009  -2.5 0.0323 0.0032  1.759e-05   Anon   CSP
SN2006gt   0.0447400 0.0436433 i 0.562 0.011 18.377 0.016  -1.5 0.0323 0.0032 -2.154e-05   Anon   CSP
SN2006gt   0.0447400 0.0436433 H 0.562 0.011 18.279 0.133  -0.1 0.0323 0.0032 -3.629e-05   Anon   CSP
SN2006gt   0.0447400 0.0436433 J 0.562 0.011 18.117 0.057   0.5 0.0323 0.0032 -2.662e-04   Anon   CSP
SN2006gt   0.0447400 0.0436433 r 0.562 0.011 18.049 0.010  -4.3 0.0323 0.0032  8.630e-06   Anon   CSP
SN2006gt   0.0447400 0.0436433 u 0.562 0.011 19.008 0.038  -0.6 0.0323 0.0032  1.430e-06   Anon   CSP
SN2006gt   0.0447400 0.0436433 V 0.562 0.011 17.975 0.010  -3.9 0.0323 0.0032  3.425e-05   Anon   CSP
SN2006gt   0.0447400 0.0436433 Y 0.562 0.011 18.205 0.042  -0.4 0.0323 0.0032 -1.933e-04   Anon   CSP
SN2006hb   0.0153333 0.0153367 B 0.673 0.018 15.525 0.049   4.5 0.0236 0.0024 -1.442e-05   Anon   CSP
SN2006hb   0.0153333 0.0153367 g 0.673 0.018 15.390 0.028   4.3 0.0236 0.0024 -9.203e-06   Anon   CSP
SN2006hb   0.0153333 0.0153367 i 0.673 0.018 15.850 0.058   6.4 0.0236 0.0024 -1.410e-05   Anon   CSP
SN2006hb   0.0153333 0.0153367 H 0.673 0.018 15.805 0.040   6.0 0.0236 0.0024 -2.218e-05   Anon   CSP
SN2006hb   0.0153333 0.0153367 J 0.673 0.018 15.564 0.071   6.2 0.0236 0.0024 -4.345e-05   Anon   CSP
SN2006hb   0.0153333 0.0153367 r 0.673 0.018 15.459 0.026   3.0 0.0236 0.0024 -1.270e-05   Anon   CSP
SN2006hb   0.0153333 0.0153367 u 0.673 0.018 16.237 0.075   6.1 0.0236 0.0024 -1.944e-05   Anon   CSP
SN2006hb   0.0153333 0.0153367 V 0.673 0.018 15.373 0.036   3.2 0.0236 0.0024 -7.486e-06   Anon   CSP
SN2006hb   0.0153333 0.0153367 Y 0.673 0.018 15.715 0.054   5.8 0.0236 0.0024 -2.303e-05   Anon   CSP
SN2006hx   0.0454633 0.0444033 B 0.993 0.018 17.563 0.022  -9.4 0.0256 0.0026  1.778e-04   Anon   CSP
SN2006hx   0.0454633 0.0444033 g 0.993 0.018 17.508 0.028  -9.6 0.0256 0.0026  2.799e-04   Anon   CSP
SN2006hx   0.0454633 0.0444033 i 0.993 0.018 17.829 0.044  -5.2 0.0256 0.0026  2.503e-04   Anon   CSP
SN2006hx   0.0454633 0.0444033 H 0.993 0.018 17.900 0.073  -4.0 0.0256 0.0026  5.758e-05   Anon   CSP
SN2006hx   0.0454633 0.0444033 J 0.993 0.018 17.805 0.066  -4.3 0.0256 0.0026  2.555e-04   Anon   CSP
SN2006hx   0.0454633 0.0444033 r 0.993 0.018 17.478 0.030 -10.1 0.0256 0.0026  2.608e-04   Anon   CSP
SN2006hx   0.0454633 0.0444033 u 0.993 0.018 18.089 0.052  -8.1 0.0256 0.0026  1.564e-04   Anon   CSP
SN2006hx   0.0454633 0.0444033 V 0.993 0.018 17.411 0.023 -10.6 0.0256 0.0026  2.096e-04   Anon   CSP
SN2006is   0.0313333 0.0314200 B 1.177 0.030 16.094 0.055   3.4 0.0290 0.0029 -7.583e-05   Anon   CSP
SN2006is   0.0313333 0.0314200 g 1.177 0.030 16.024 0.035   8.5 0.0290 0.0029 -6.201e-05   Anon   CSP
SN2006is   0.0313333 0.0314200 i 1.177 0.030 17.110 0.068  11.0 0.0290 0.0029  1.140e-05   Anon   CSP
SN2006is   0.0313333 0.0314200 H 1.177 0.030 17.170 0.065   8.1 0.0290 0.0029  2.951e-05   Anon   CSP
SN2006is   0.0313333 0.0314200 J 1.177 0.030 16.673 0.107  10.3 0.0290 0.0029 -1.306e-04   Anon   CSP
SN2006is   0.0313333 0.0314200 r 1.177 0.030 16.343 0.031   4.4 0.0290 0.0029  2.501e-05   Anon   CSP
SN2006is   0.0313333 0.0314200 u 1.177 0.030 16.454 0.087   4.9 0.0290 0.0029 -1.139e-04   Anon   CSP
SN2006is   0.0313333 0.0314200 V 1.177 0.030 16.120 0.040   2.1 0.0290 0.0029 -3.801e-05   Anon   CSP
SN2006is   0.0313333 0.0314200 Y 1.177 0.030 17.248 0.083   8.6 0.0290 0.0029 -4.551e-05   Anon   CSP
SN2006kf   0.0212867 0.0208000 B 0.735 0.004 15.955 0.006  -4.8 0.2097 0.0210  8.031e-06   Anon   CSP
SN2006kf   0.0212867 0.0208000 g 0.735 0.004 15.897 0.006  -5.1 0.2097 0.0210  8.060e-06   Anon   CSP
SN2006kf   0.0212867 0.0208000 i 0.735 0.004 16.489 0.008  -2.4 0.2097 0.0210  4.702e-08   Anon   CSP
SN2006kf   0.0212867 0.0208000 H 0.735 0.004 16.401 0.032  -0.6 0.2097 0.0210 -1.144e-05   Anon   CSP
SN2006kf   0.0212867 0.0208000 J 0.735 0.004 16.259 0.013  -0.7 0.2097 0.0210 -3.432e-06   Anon   CSP
SN2006kf   0.0212867 0.0208000 r 0.735 0.004 15.987 0.005  -6.2 0.2097 0.0210  3.353e-06   Anon   CSP
SN2006kf   0.0212867 0.0208000 u 0.735 0.004 16.428 0.012  -3.2 0.2097 0.0210  6.879e-06   Anon   CSP
SN2006kf   0.0212867 0.0208000 V 0.735 0.004 15.942 0.005  -6.0 0.2097 0.0210  5.431e-06   Anon   CSP
SN2006kf   0.0212867 0.0208000 Y 0.735 0.004 16.316 0.017  -0.8 0.2097 0.0210 -1.924e-05   Anon   CSP
SN2006lu   0.0533667 0.0543967 B 1.051 0.022 17.519 0.052   6.1 0.0986 0.0099 -2.878e-06   Anon   CSP
SN2006lu   0.0533667 0.0543967 g 1.051 0.022 17.475 0.030   6.0 0.0986 0.0099 -9.729e-06   Anon   CSP
SN2006lu   0.0533667 0.0543967 i 1.051 0.022 18.304 0.064   9.3 0.0986 0.0099  1.043e-05   Anon   CSP
SN2006lu   0.0533667 0.0543967 r 1.051 0.022 17.678 0.029   4.2 0.0986 0.0099  2.427e-05   Anon   CSP
SN2006lu   0.0533667 0.0543967 u 1.051 0.022 17.753 0.086   7.4 0.0986 0.0099 -2.321e-05   Anon   CSP
SN2006lu   0.0533667 0.0543967 V 1.051 0.022 17.533 0.039   5.1 0.0986 0.0099  8.180e-06   Anon   CSP
SN2006lu   0.0533667 0.0543967 Y 1.051 0.022 18.444 0.142  11.8 0.0986 0.0099 -2.029e-05   Anon   CSP
SN2006mr   0.0058667 0.0055100 B 0.239 0.004 15.261 0.022  -4.7 0.0179 0.0018  3.385e-05   Anon   CSP
SN2006mr   0.0058667 0.0055100 g 0.239 0.004 14.922 0.022  -4.9 0.0179 0.0018  3.238e-05   Anon   CSP
SN2006mr   0.0058667 0.0055100 i 0.239 0.004 14.395 0.032  -9.5 0.0179 0.0018  3.861e-05   Anon   CSP
SN2006mr   0.0058667 0.0055100 H 0.239 0.004 13.912 0.044  -8.2 0.0179 0.0018  2.217e-05   Anon   CSP
SN2006mr   0.0058667 0.0055100 J 0.239 0.004 13.999 0.041  -7.7 0.0179 0.0018  3.326e-05   Anon   CSP
SN2006mr   0.0058667 0.0055100 r 0.239 0.004 14.438 0.027 -10.4 0.0179 0.0018  2.037e-05   Anon   CSP
SN2006mr   0.0058667 0.0055100 u 0.239 0.004 16.443 0.036  -2.9 0.0179 0.0018  2.365e-05   Anon   CSP
SN2006mr   0.0058667 0.0055100 V 0.239 0.004 14.590 0.021  -5.7 0.0179 0.0018  4.426e-05   Anon   CSP
SN2006mr   0.0058667 0.0055100 Y 0.239 0.004 13.974 0.040 -13.1 0.0179 0.0018  4.430e-05   Anon   CSP
SN2006ob   0.0591967 0.0582567 B 0.720 0.012 18.266 0.016  -3.2 0.0285 0.0029  4.749e-05   Anon   CSP
SN2006ob   0.0591967 0.0582567 g 0.720 0.012 18.170 0.014  -3.4 0.0285 0.0029  4.960e-05   Anon   CSP
SN2006ob   0.0591967 0.0582567 i 0.720 0.012 18.686 0.021  -0.9 0.0285 0.0029 -2.811e-05   Anon   CSP
SN2006ob   0.0591967 0.0582567 H 0.720 0.012 18.696 0.177   5.9 0.0285 0.0029 -1.655e-04   Anon   CSP
SN2006ob   0.0591967 0.0582567 J 0.720 0.012 18.604 0.128   5.8 0.0285 0.0029 -1.337e-04   Anon   CSP
SN2006ob   0.0591967 0.0582567 r 0.720 0.012 18.266 0.013  -4.6 0.0285 0.0029  5.324e-06   Anon   CSP
SN2006ob   0.0591967 0.0582567 u 0.720 0.012 18.362 0.048  -1.6 0.0285 0.0029  2.875e-05   Anon   CSP
SN2006ob   0.0591967 0.0582567 V 0.720 0.012 18.172 0.016  -4.4 0.0285 0.0029  3.453e-05   Anon   CSP
SN2006ob   0.0591967 0.0582567 Y 0.720 0.012 18.634 0.104  11.6 0.0285 0.0029 -9.782e-05   Anon   CSP
SN2006os   0.0327867 0.0320800 B 0.914 0.024 17.612 0.057   0.7 0.1254 0.0125 -2.078e-05   Anon   CSP
SN2006os   0.0327867 0.0320800 g 0.914 0.024 17.458 0.033   0.4 0.1254 0.0125 -1.659e-05   Anon   CSP
SN2006os   0.0327867 0.0320800 i 0.914 0.024 17.544 0.069   3.7 0.1254 0.0125 -2.516e-05   Anon   CSP
SN2006os   0.0327867 0.0320800 H 0.914 0.024 17.332 0.104   6.0 0.1254 0.0125  5.382e-05   Anon   CSP
SN2006os   0.0327867 0.0320800 J 0.914 0.024 17.279 0.039   2.6 0.1254 0.0125 -7.962e-05   Anon   CSP
SN2006os   0.0327867 0.0320800 r 0.914 0.024 17.143 0.031  -0.7 0.1254 0.0125 -1.088e-05   Anon   CSP
SN2006os   0.0327867 0.0320800 u 0.914 0.024 18.325 0.131   2.0 0.1254 0.0125 -8.177e-05   Anon   CSP
SN2006os   0.0327867 0.0320800 V 0.914 0.024 17.286 0.042  -0.7 0.1254 0.0125 -9.365e-06   Anon   CSP
SN2006os   0.0327867 0.0320800 Y 0.914 0.024 17.314 0.035   3.2 0.1254 0.0125  1.447e-04   Anon   CSP
SN2006py   0.0578600 0.0566433 B 0.950 0.026 17.921 0.021  -1.7 0.0518 0.0052  2.567e-04   Anon   CSP
SN2006py   0.0578600 0.0566433 g 0.950 0.026 17.826 0.013  -1.9 0.0518 0.0052  4.870e-05   Anon   CSP
