#     name      zhel      zcmb f    st   +/-   Mmax   +/-    t0  EBVmw eEBVmw  covMs      Host   Source
SN2005cf   0.0064611 0.0070450 V 0.970 0.006 13.210 0.007 -13.9 0.0968 0.0097  2.231e-05  N5917  CfA
SN2005cf   0.0064611 0.0070450 B 0.970 0.006 13.280 0.008 -12.6 0.0968 0.0097  3.291e-05  N5917  CfA
SN2005cf   0.0064611 0.0070450 H 0.970 0.006 13.937 0.017  -7.4 0.0968 0.0097  2.608e-05  N5917  CfA
SN2005cf   0.0064611 0.0070450 i 0.970 0.006 14.020 0.008  -9.5 0.0968 0.0097  1.566e-05  N5917  CfA
SN2005cf   0.0064611 0.0070450 r 0.970 0.006 13.332 0.007 -14.2 0.0968 0.0097  1.467e-05  N5917  CfA
SN2007af   0.0054600 0.0062900 B 0.926 0.003 13.160 0.004  -8.8 0.0338 0.0034  5.086e-06  N5584  CSP
SN2007af   0.0054600 0.0062900 g 0.926 0.003 13.076 0.005  -9.1 0.0338 0.0034  4.762e-06  N5584  CSP
SN2007af   0.0054600 0.0062900 i 0.926 0.003 13.627 0.007  -5.8 0.0338 0.0034  4.268e-06  N5584  CSP
SN2007af   0.0054600 0.0062900 H 0.926 0.003 13.615 0.009  -7.6 0.0338 0.0034  3.806e-06  N5584  CSP
SN2007af   0.0054600 0.0062900 K 0.926 0.003 13.498 0.046  -2.4 0.0338 0.0034  1.100e-06  N5584  CSP
SN2007af   0.0054600 0.0062900 J 0.926 0.003 13.438 0.008  -8.0 0.0338 0.0034  2.410e-06  N5584  CSP
SN2007af   0.0054600 0.0062900 r 0.926 0.003 13.099 0.005 -10.3 0.0338 0.0034  3.551e-06  N5584  CSP
SN2007af   0.0054600 0.0062900 u 0.926 0.003 13.712 0.007  -7.5 0.0338 0.0034  3.060e-06  N5584  CSP
SN2007af   0.0054600 0.0062900 V 0.926 0.003 13.054 0.005 -10.2 0.0338 0.0034  4.528e-06  N5584  CSP
SN2007af   0.0054600 0.0062900 Y 0.926 0.003 13.528 0.008  -7.3 0.0338 0.0034  5.292e-06  N5584  CSP
SN2007sr   0.0054733 0.0066557 B 0.989 0.017 12.752 0.046   7.0 0.0398 0.0040  1.465e-06  N4038  CSP
SN2007sr   0.0054733 0.0066557 g 0.989 0.017 12.655 0.025   6.8 0.0398 0.0040 -1.956e-07  N4038  CSP
SN2007sr   0.0054733 0.0066557 i 0.989 0.017 13.259 0.056  10.1 0.0398 0.0040  1.967e-06  N4038  CSP
SN2007sr   0.0054733 0.0066557 H 0.989 0.017 13.405 0.030  10.3 0.0398 0.0040  1.139e-05  N4038  CSP
SN2007sr   0.0054733 0.0066557 J 0.989 0.017 13.087 0.069  10.0 0.0398 0.0040 -7.249e-06  N4038  CSP
SN2007sr   0.0054733 0.0066557 r 0.989 0.017 12.651 0.025   5.3 0.0398 0.0040  2.217e-06  N4038  CSP
SN2007sr   0.0054733 0.0066557 u 0.989 0.017 13.367 0.070   8.2 0.0398 0.0040  1.408e-06  N4038  CSP
SN2007sr   0.0054733 0.0066557 V 0.989 0.017 12.593 0.035   5.8 0.0398 0.0040 -7.877e-07  N4038  CSP
SN2007sr   0.0054733 0.0066557 Y 0.989 0.017 13.299 0.053  10.7 0.0398 0.0040  1.458e-05  N4038  CSP
SN2009ig   0.0088000 0.0080401 J 1.108 0.016 14.026 0.137  43.6 0.0269 0.0027  1.384e-05  N1015  CfA
SN2009ig   0.0088000 0.0080401 V 1.108 0.016 13.370 0.008  -2.8 0.0269 0.0027  4.324e-05  N1015  CfA
SN2009ig   0.0088000 0.0080401 B 1.108 0.016 13.449 0.010  -1.9 0.0269 0.0027  1.536e-05  N1015  CfA
SN2009ig   0.0088000 0.0080401 H 1.108 0.016 14.329 0.106  43.3 0.0269 0.0027 -1.364e-04  N1015  CfA
SN2009ig   0.0088000 0.0080401 i 1.108 0.016 14.170 0.011   1.2 0.0269 0.0027  4.779e-05  N1015  CfA
SN2009ig   0.0088000 0.0080401 u 1.108 0.016 13.797 0.087  10.5 0.0269 0.0027 -1.635e-04  N1015  CfA
SN2009ig   0.0088000 0.0080401 r 1.108 0.016 13.518 0.010  -3.0 0.0269 0.0027  1.078e-04  N1015  CfA
SN2011by   0.0028430 0.0034050 B 0.956 0.004 12.884 0.008 -12.8 0.0119 0.0012  1.743e-05  N3972  CfA
SN2011by   0.0028430 0.0034050 H 0.956 0.004 13.490 0.021  -7.6 0.0119 0.0012  9.664e-06  N3972  CfA
SN2011by   0.0028430 0.0034050 V 0.956 0.004 12.836 0.006 -14.1 0.0119 0.0012  1.484e-05  N3972  CfA
SN2011by   0.0028430 0.0034050 K 0.956 0.004 13.575 0.116  -9.4 0.0119 0.0012  7.317e-07  N3972  CfA
SN2011by   0.0028430 0.0034050 J 0.956 0.004 13.272 0.028  -7.9 0.0119 0.0012  1.160e-05  N3972  CfA
SN2011by   0.0028430 0.0034050 r 0.956 0.004 12.851 0.006 -14.4 0.0119 0.0012  1.196e-05  N3972  CfA
SN2011by   0.0028430 0.0034050 i 0.956 0.004 13.414 0.008  -9.7 0.0119 0.0012  1.244e-05  N3972  CfA
SN2011fe   0.0008030 0.0012072 r 0.946 0.003  9.995 0.004 -17.1 0.0077 0.0008  4.139e-06  M101   R12M12
SN2011fe   0.0008030 0.0012072 i 0.946 0.003 10.585 0.006 -12.5 0.0077 0.0008  3.948e-06  M101   R12M12
SN2011fe   0.0008030 0.0012072 K 0.946 0.003 10.645 0.026 -12.6 0.0077 0.0008  3.156e-06  M101   R12M12
SN2011fe   0.0008030 0.0012072 J 0.946 0.003 10.460 0.009 -11.1 0.0077 0.0008  5.707e-06  M101   R12M12
