# Bspline knot points:
[0.230, 0.900, 1.340]
 #clr   a[0]   +/-   a[1]   +/-   a[2]   +/-   a[3]   +/-   a[4]   +/-   sig
 u-B   1.22  0.12   0.76  0.14   0.19  0.13  0.381 0.086   0.06  0.15 0.097
 B-V  0.696 0.043  0.199 0.046 -0.192 0.047 -0.008 0.035  0.056 0.072 0.028
 g-r  0.457 0.057 -0.116 0.057 -0.159 0.057 -0.269 0.043 -0.116 0.088 0.012
 V-r  0.149 0.048 -0.142 0.046 -0.014 0.044 -0.205 0.031 -0.084 0.060 0.018
 V-i  0.075 0.071 -0.570 0.072 -0.499 0.072 -1.021 0.054  -0.39  0.12 0.035
 r-i -0.076 0.064 -0.429 0.064 -0.487 0.062 -0.815 0.045  -0.31  0.10 0.035
 V-Y  0.577 0.096 -0.676 0.096 -0.093 0.094 -1.360 0.069  -0.10  0.16 0.037
 Y-J  -0.01  0.11   0.40  0.12  -0.21  0.11  0.335 0.074  -0.11  0.13 0.075
 J-H   0.07  0.11  -0.36  0.12   0.07  0.11 -0.518 0.072   0.07  0.12 0.071
 V-J   0.56  0.12  -0.28  0.13  -0.30  0.12 -1.025 0.087  -0.21  0.17 0.068
 V-H   0.63  0.11  -0.63  0.11  -0.24  0.10 -1.541 0.078  -0.14  0.18 0.028
tau  = 0.119 +/- 0.015
  SN2007bd  0.064 0.015 1.01 0.89 -0.005788
  SN2007bm  0.532 0.020 1.78 0.15 -0.002079
  SN2007ca  0.344 0.020 3.07 0.29 -0.004867
  SN2007cg  0.738 0.045 2.21 0.31 -0.008423
  SN2007hj  0.120 0.023 1.45 0.72 -0.009279
  SN2007hx  0.282 0.033 2.39 0.55 -0.008174
  SN2007jd  0.119 0.036 1.68 0.76 -0.010352
  SN2007jg  0.112 0.019 2.26 0.64 -0.007039
  SN2007jh  0.218 0.030 2.00 0.72 -0.006868
  SN2007le  0.381 0.015 1.94 0.16 -0.001616
  SN2007mm  0.252 0.031 1.80 0.74 -0.007253
  SN2007nq  0.053 0.013 2.87 1.18 -0.003943
  SN2007ol  0.007 0.008 1.80 1.37 -0.000334
  SN2007on  0.007 0.009 2.01 1.41 0.002127
  SN2007so  0.155 0.026 4.12 1.04 -0.021676
  SN2007sr  0.184 0.028 1.33 0.50 -0.009639
  SN2007st  0.153 0.028 2.03 0.59 -0.008668
  SN2007ux  0.094 0.019 1.35 0.74 -0.006666
   SN2008C  0.243 0.035 1.84 0.52 -0.012351
   SN2008O  0.309 0.025 1.20 0.32 -0.004929
   SN2008R  0.029 0.018 1.43 1.28 -0.006418
  SN2008ar  0.103 0.015 1.59 0.58 -0.004278
  SN2008bc  0.023 0.021 1.50 1.32 -0.007878
  SN2008bd  0.150 0.034 2.17 0.66 -0.009825
  SN2008bf  0.014 0.012 1.17 1.40 -0.006428
  SN2008bi  0.296 0.050 2.25 0.61 -0.020349
  SN2008bq  0.127 0.022 2.59 0.96 -0.012201
  SN2008bt  0.249 0.025 1.14 0.44 -0.003883
  SN2008bz  0.019 0.017 1.74 1.35 -0.002129
  SN2008cc  0.114 0.022 2.22 0.64 -0.008281
  SN2008cd  1.911 0.074 2.15 0.35 -0.015641
  SN2008cf  0.014 0.014 1.60 1.31 -0.003922
  SN2008ff  0.121 0.021 1.03 0.50 -0.005363
  SN2008fl  0.131 0.030 1.96 0.65 -0.010849
  SN2008fp  0.518 0.035 2.25 0.25 -0.007281
  SN2008fr  0.025 0.019 1.51 1.28 -0.007315
  SN2008fu  0.022 0.018 1.85 1.27 -0.002111
  SN2008fw  0.115 0.024 2.25 0.62 -0.007948
  SN2008gg  0.152 0.030 1.31 0.60 -0.011303
  SN2008gl  0.089 0.015 0.27 0.74 -0.003897
  SN2008go  0.106 0.016 0.98 0.74 -0.004285
  SN2008gp  0.030 0.017 1.48 1.23 -0.007216
  SN2008hj  0.060 0.016 0.42 1.02 -0.006665
  SN2008hu  0.049 0.020 1.61 1.18 -0.007494
  SN2008hv  0.015 0.012 1.15 1.40 -0.005994
  SN2008ia  0.063 0.023 2.25 1.11 -0.010838
   SN2009D  0.036 0.017 2.19 1.22 -0.002445
   SN2009F  0.097 0.033 1.61 0.89 -0.011033
   SN2009I  0.759 0.019 2.61 0.12 -0.001751
   SN2009P  0.429 0.022 1.65 0.27 -0.003375
   SN2009Y  0.148 0.027 1.31 0.52 -0.006731
  SN2009aa  0.085 0.014 1.98 0.67 -0.005768
  SN2009ab  0.121 0.025 2.16 0.63 -0.009620
  SN2009ad  0.083 0.018 2.05 0.63 -0.005202
  SN2009ag  0.284 0.039 2.06 0.50 -0.015657
  SN2009al  0.208 0.031 2.67 0.58 -0.010638
  SN2009cz  0.073 0.018 2.48 0.96 -0.005346
  SN2009ds  0.151 0.018 1.48 0.45 -0.003693
  SN2009ig  0.087 0.017 1.88 0.67 -0.002696
  SN2009le  0.171 0.018 0.56 0.60 -0.002691
  SN2011by  0.139 0.014 1.82 0.41 -0.003209
  SN2011fe  0.117 0.014 0.92 0.44 -0.003164
  SN2012cg  0.162 0.015 2.84 0.42 -0.004009
  SN2012fr  0.039 0.014 2.01 1.09 -0.003959
  SN2012ht  0.034 0.012 2.19 1.10 -0.004513
  SN2013dy  0.246 0.028 2.88 0.50 -0.011576
   SN2015F  0.208 0.080 2.32 0.64 -0.006793
