      SN    st  e_st   zhelio     zcmb    Bmax e_Bmax    Vmax e_Vmax    umax e_umax    gmax e_gmax    rmax e_rmax    imax e_imax    Ymax e_Ymax    Jmax e_Jmax    Hmax e_Hmax EBVhost e_EBVhost    Rv  e_Rv  C(Rv)(EBVhost) ssource   cephV    cephH
SN2005kc 0.899 0.006 0.015110 0.013890  15.582  0.007  15.342  0.007  16.085  0.021  15.464  0.007  15.293  0.007  15.679  0.011  15.471  0.017  15.400  0.019  15.591  0.025 0.31400   0.02500 2.180 0.326        -0.00665     CSP       0        0
SN2005ke 0.419 0.004 0.004877 0.004483  14.791  0.008  14.141  0.008  15.965  0.013  14.437  0.008  14.016  0.009  14.290  0.012  14.049  0.012  13.992  0.012  14.005  0.012 0.31700   0.02500 1.044 0.225        -0.00123     CSP       0        0
SN2005ki 0.825 0.003 0.019193 0.020370  15.572  0.005  15.596  0.004  15.873  0.010  15.529  0.004  15.683  0.004  16.217  0.006  16.151  0.011  16.115  0.015  16.275  0.021 0.01700   0.01100 1.352 1.272        -0.00393     CSP       0        0
SN2005ku 0.950 0.040 0.045407 0.044183  17.534  0.063  17.432  0.049  18.317  0.111  17.526  0.040  17.474  0.038  18.078  0.082  17.905  0.196 999.999  9.999 999.999  9.999 0.15800   0.03700 1.675 0.763        -0.00735     CSP       0        0
SN2005lu 1.130 0.034 0.031987 0.031293  17.292  0.058  17.054  0.043  17.796  0.097  17.112  0.035  17.049  0.038  17.575  0.066  17.535  0.101 999.999  9.999 999.999  9.999 0.28500   0.03300 2.136 0.588        -0.00834     CSP       0        0
SN2005mc 0.640 0.025 0.025203 0.026007  17.223  0.056  16.920  0.040  18.058  0.096  17.049  0.033  16.849  0.031  17.214  0.068 999.999  9.999 999.999  9.999 999.999  9.999 0.25300   0.03500 1.886 0.703        -0.00449     CSP       0        0
SN2005na 0.957 0.006 0.026303 0.026813  16.005  0.007  16.004  0.006  16.099  0.014  15.963  0.006  16.083  0.007  16.654  0.010  16.630  0.078  16.475  0.108  16.707  0.053 0.07100   0.01600 2.514 0.937        -0.00686     CSP       0        0
SN2006D  0.815 0.003 0.008520 0.009640  14.184  0.005  14.084  0.004  14.798  0.011  14.084  0.006  14.122  0.005  14.623  0.006  14.612  0.027  14.472  0.064  14.505  0.037 0.13500   0.01500 1.586 0.479        -0.00392     CSP       0        0
SN2006X  0.968 0.006 0.005237 0.006320  15.261  0.010  14.016  0.008  17.249  0.023  14.683  0.008  13.549  0.010  13.732  0.013  13.036  0.027  12.843  0.024  12.981  0.021 1.35200   0.01800 1.810 0.051        -0.00063     CSP   N4321        0
SN2006ax 0.987 0.004 0.016727 0.017957  15.026  0.005  15.078  0.004  15.361  0.009  15.001  0.005  15.185  0.005  15.776  0.007  15.836  0.010  15.690  0.009  15.998  0.012 0.02000   0.01200 1.562 1.247        -0.00398     CSP       0        0
SN2006bd 0.376 0.013 0.025707 0.026797  18.835  0.044  18.030  0.025 999.999  9.999  18.434  0.031  17.905  0.022  18.024  0.031  17.639  0.062  17.566  0.070  17.825  0.117 0.36200   0.04000 1.553 0.391        -0.00877     CSP       0        0
SN2006bh 0.802 0.003 0.010840 0.010493  14.358  0.003  14.372  0.003  14.736  0.006  14.309  0.004  14.426  0.004  14.974  0.005  14.883  0.011  14.807  0.016  14.951  0.015 0.03500   0.01200 1.606 1.098        -0.00493     CSP       0        0
