      SN    st  e_st   zhelio     zcmb    Bmax e_Bmax    Vmax e_Vmax    umax e_umax    gmax e_gmax    rmax e_rmax    imax e_imax    Ymax e_Ymax    Jmax e_Jmax    Hmax e_Hmax EBVhost e_EBVhost    Rv  e_Rv  C(Rv)(EBVhost) ssource   cephV    cephH
SN2008gl 0.851 0.004 0.033993 0.032946  16.809  0.004  16.774  0.004  17.358  0.009  16.752  0.004  16.818  0.004  17.385  0.007  17.485  0.019  17.161  0.026  17.408  0.059 0.09000   0.01400 0.273 0.767        -0.00365     CSP       0        0
SN2008go 0.912 0.023 0.062367 0.061313  18.033  0.007  17.993  0.007  18.794  0.020  17.970  0.006  18.033  0.007  18.700  0.014  18.628  0.051 999.999  9.999 999.999  9.999 0.10700   0.01600 0.966 0.748        -0.00451     CSP       0        0
SN2008gp 0.973 0.005 0.033390 0.032823  16.438  0.007  16.443  0.006  16.672  0.013  16.396  0.007  16.572  0.007  17.170  0.009  17.184  0.018  17.090  0.029  17.439  0.061 0.03000   0.01800 1.429 1.257        -0.00794     CSP       0        0
SN2008hj 1.011 0.006 0.037867 0.036722  16.780  0.005  16.780  0.005  17.277  0.010  16.733  0.004  16.868  0.005  17.531  0.007  17.683  0.018  17.560  0.028  17.668  0.066 0.06000   0.01600 0.422 1.047        -0.00723     CSP       0        0
SN2008hu 0.786 0.008 0.049666 0.050526  17.838  0.015  17.824  0.011  18.438  0.038  17.795  0.011  17.886  0.010  18.425  0.015  18.230  0.081  18.323  0.040  18.285  0.103 0.04800   0.02000 1.595 1.202        -0.00803     CSP       0        0
SN2008hv 0.846 0.003 0.012540 0.013580  14.736  0.006  14.766  0.005  15.087  0.010  14.696  0.006  14.849  0.005  15.424  0.007  15.380  0.012  15.254  0.013  15.488  0.015 0.01500   0.01100 1.121 1.356        -0.00566     CSP       0        0
SN2008ia 0.843 0.004 0.021983 0.022540  15.875  0.006  15.912  0.007  16.397  0.012  15.840  0.007  15.956  0.007  16.531  0.010  16.396  0.017  16.290  0.026  16.295  0.026 0.06400   0.02400 2.158 1.136        -0.01118     CSP       0        0
SN2009D  1.186 0.006 0.024990 0.024654  15.759  0.004  15.778  0.004  16.231  0.007  15.683  0.004  15.872  0.004  16.466  0.007  16.567  0.058  16.341  0.021  16.643  0.021 0.03500   0.01700 2.122 1.196        -0.00162     CSP       0        0
SN2009F  0.328 0.008 0.012947 0.012910  16.921  0.016  16.371  0.013  17.832  0.043  16.624  0.015  16.137  0.022  16.383  0.024  16.073  0.075  15.980  0.028  16.096  0.039 0.10100   0.03500 1.577 0.879        -0.01009     CSP       0        0
SN2009I  1.064 0.019 0.026150 0.025431  18.177  0.015  17.538  0.012  19.249  0.052  17.892  0.010  17.254  0.012  17.476  0.018  17.044  0.022  16.749  0.019  16.942  0.042 0.75800   0.01900 2.610 0.121        -0.00170     CSP       0        0
SN2009P  1.093 0.030 0.025087 0.026320  17.018  0.019  16.631  0.015  17.803  0.039  16.813  0.015  16.574  0.017  17.130  0.025  17.133  0.050  16.781  0.066 999.999  9.999 0.42800   0.02200 1.657 0.265        -0.00316     CSP       0        0
SN2009Y  1.189 0.008 0.009347 0.010103  14.008  0.007  13.858  0.008  14.573  0.012  13.919  0.010  13.916  0.010  14.564  0.013  14.605  0.021  14.513  0.031  14.707  0.031 0.14600   0.02600 1.286 0.529        -0.00685     CSP       0        0
SN2009aa 0.906 0.004 0.027290 0.028481  16.320  0.006  16.301  0.006  16.605  0.009  16.267  0.006  16.366  0.006  16.886  0.009  16.816  0.015  16.781  0.014  16.963  0.020 0.08500   0.01400 1.955 0.689        -0.00581     CSP       0        0
SN2009ab 0.874 0.005 0.011163 0.010862  14.708  0.006  14.663  0.006  15.009  0.013  14.648  0.006  14.706  0.006  15.184  0.010  15.014  0.021  14.955  0.021  15.193  0.023 0.12100   0.02500 2.162 0.633        -0.00924     CSP       0        0
SN2009ad 1.015 0.006 0.028380 0.028317  16.191  0.006  16.161  0.006  16.327  0.010  16.139  0.006  16.264  0.007  16.831  0.009  16.850  0.016  16.711  0.018  17.069  0.043 0.08300   0.01800 2.044 0.639        -0.00556     CSP       0        0
SN2009ag 0.961 0.007 0.008633 0.009248  14.597  0.010  14.435  0.009  15.373  0.019  14.492  0.010  14.398  0.010  14.847  0.016  14.684  0.018  14.600  0.017  14.790  0.016 0.28600   0.03900 2.040 0.498        -0.01530     CSP       0        0
SN2009al 1.174 0.041 0.022090 0.023276  16.158  0.064  16.021  0.047  16.441  0.116  16.031  0.044  16.116  0.046  16.424  0.079  16.403  0.045  16.220  0.044  16.557  0.045 0.20600   0.03100 2.679 0.577        -0.01075     CSP       0        0
SN2009cz 1.189 0.012 0.021123 0.021979  15.712  0.008  15.688  0.007  16.140  0.020  15.637  0.009  15.757  0.008  16.323  0.014  16.368  0.031  16.158  0.054  16.495  0.046 0.07200   0.01800 2.429 0.941        -0.00464     CSP       0        0
SN2009ds 1.125 0.020 0.019247 0.020466  15.496  0.008  15.394  0.009  15.939  0.014  15.419  0.009  15.438  0.012  16.034  0.019  16.340  0.077  15.928  0.032  16.275  0.047 0.15100   0.01800 1.460 0.453        -0.00384     CSP       0        0
SN2009le 1.156 0.021 0.017773 0.017027  15.364  0.005  15.231  0.006  15.835  0.010  15.274  0.006  15.271  0.007  15.871  0.011 999.999  9.999  16.204  0.034 999.999  9.999 0.17000   0.01700 0.531 0.599        -0.00227     CSP       0        0
SN1981B  0.921 0.006 0.006027 0.007169  11.962  0.006  11.886  0.007  12.579  0.010 999.999  9.999 999.999  9.999 999.999  9.999 999.999  9.999  12.357  0.105  12.485  0.047 0.14700   0.02300 1.670 0.515        -0.00647     T82+E81 N4536    N4536
SN1990N  1.122 0.009 0.003000 0.004068  12.745  0.007  12.677  0.007  13.080  0.014 999.999  9.999  12.738  0.007  13.295  0.010 999.999  9.999 999.999  9.999 999.999  9.999 0.12800   0.01600 2.273 0.730        -0.00211     L1991   N4639    N4639
SN1994ae 1.046 0.007 0.004000 0.005120  13.140  0.006  13.073  0.008 999.999  9.999 999.999  9.999  13.019  0.007  13.691  0.009 999.999  9.999 999.999  9.999 999.999  9.999 0.18700   0.01800 1.662 0.707        -0.00416     CfA     N3370    N3370
SN1995al 1.126 0.016 0.005000 0.005876  13.364  0.009  13.213  0.008 999.999  9.999 999.999  9.999  13.286  0.010  13.855  0.009 999.999  9.999 999.999  9.999 999.999  9.999 0.18200   0.01700 1.956 0.704        -0.00312     CfA     N3021    N3021
SN1998aq 0.949 0.005 0.003697 0.004262  12.352  0.008  12.433  0.006  12.434  0.008 999.999  9.999  12.476  0.006  13.093  0.008 999.999  9.999 999.999  9.999 999.999  9.999 0.02500   0.01200 1.971 1.276        -0.00080     CfA     N3982    N3982
SN1998bu 0.959 0.004 0.002483 0.003681  12.073  0.006  11.702  0.004  12.570  0.015 999.999  9.999  11.658  0.008  12.051  0.008 999.999  9.999  11.555  0.025  11.757  0.019 0.41600   0.01700 2.509 0.187        -0.00230     CfA     N3368        0
SN2001el 0.952 0.006 0.003896 0.003676  12.818  0.009  12.653  0.006  13.577  0.018 999.999  9.999  12.542  0.009  13.100  0.011 999.999  9.999  12.774  0.027  12.908  0.027 0.29100   0.01600 2.241 0.268        -0.00292     K03         0    N1448
SN2002fk 0.979 0.005 0.007120 0.006614  13.193  0.005  13.269  0.006 999.999  9.999 999.999  9.999  13.367  0.007  13.885  0.007 999.999  9.999  13.810  0.012  14.050  0.011 0.03000   0.01100 2.637 1.236        -0.00237     S12+C14 N1309    N1309
SN2003du 1.006 0.004 0.006384 0.006652  13.478  0.004  13.534  0.004 999.999  9.999 999.999  9.999  13.620  0.004  14.233  0.006 999.999  9.999  14.213  0.033  14.523  0.026 0.02500   0.01300 1.001 1.311        -0.00633     CfA         0    U9391
SN2005cf 0.970 0.006 0.006461 0.007045  13.280  0.008  13.210  0.007 999.999  9.999 999.999  9.999  13.332  0.007  14.020  0.008 999.999  9.999  13.695  0.018  13.937  0.017 0.09300   0.01900 2.277 0.646        -0.00621     CfA         0    N5917
SN2009ig   1.108 0.016 0.008800 0.008040  13.449  0.010  13.370  0.008  13.797  0.087 999.999  9.999  13.518  0.010  14.170  0.011 999.999  9.999  14.026  0.137  14.329  0.106 0.08600   0.01600 1.874 0.685        -0.00272     CfA       0    N1015
SN2011by 0.956 0.004 0.002843 0.003405  12.884  0.008  12.836  0.006 999.999  9.999 999.999  9.999  12.851  0.006  13.414  0.008 999.999  9.999  13.272  0.028  13.490  0.021 0.13900   0.01400 1.798 0.414        -0.00307     CfA       0    N3972
SN2011fe 0.946 0.003 0.000803 0.001207   9.999  0.006   9.968  0.003 999.999  9.999 999.999  9.999   9.995  0.004  10.585  0.006 999.999  9.999  10.460  0.009  10.757  0.007 0.11700   0.01400 0.903 0.440        -0.00312     R12M12    M101 M101
SN2012cg 1.056 0.008 0.001458 0.002580  12.029  0.009  11.929  0.006  12.411  0.015 999.999  9.999  12.004  0.006  12.455  0.008 999.999  9.999  12.318  0.020  12.577  0.021 0.16200   0.01500 2.855 0.433        -0.00431     CfA       0        N4424
SN2012fr 1.116 0.005 0.005500 0.005129  11.936  0.007  11.951  0.004  12.380  0.006  11.906  0.003  12.078  0.004  12.805  0.005  12.899  0.016  12.728  0.014  13.004  0.018 0.03900   0.01400 1.969 1.085        -0.00357     CSP   N1365    N1365
SN2012ht 0.853 0.002 0.003557 0.004685  12.998  0.006  12.995  0.006  13.538  0.007  12.972  0.005  13.112  0.005  13.706  0.007  13.525  0.008  13.432  0.008  13.648  0.010 0.03400   0.01100 2.150 1.064        -0.00409     CSP       0    N3447
SN2013dy 1.099 0.006 0.003889 0.002884  12.750  0.006  12.561  0.005 999.999  9.999 999.999  9.999  12.604  0.006  13.193  0.006  12.912  0.013  12.788  0.020  13.032  0.019 0.24400   0.02800 2.882 0.499        -0.01118     Pan15     0        N7250
SN2015F  0.847 0.004 0.004887 0.005280  12.735  0.007  12.663  0.006  13.212  0.008  12.680  0.007  12.669  0.006  13.167  0.008  12.904  0.035  12.907  0.040  13.074  0.033 0.20300   0.07500 2.297 0.642        -0.00683     CSP       0    N2442
